AccountSid,PhysicalNumber,VirtualNumber,Usage,_state
tvscredit3m,07969457995,04446974539,1,pn
tvscredit3m,04469089605,04446974539,1,pn
tvscredit3m,04435083049,04446974539,1,pn
tvscredit3m,07969457996,04446974604,1,pn
tvscredit3m,04469089606,04446974604,1,pn
tvscredit3m,04435083050,04446974604,1,pn
tvscredit3m,07969457997,04446974605,1,pn
tvscredit3m,04469089607,04446974605,1,pn
tvscredit3m,04435083051,04446974605,1,pn
tvscredit3m,04435083052,04446974606,1,pn
tvscredit3m,07969457998,04446974606,1,pn
tvscredit3m,04469089608,04446974606,1,pn
tvscredit3m,07969457999,04446974607,1,pn
tvscredit3m,04469089609,04446974607,1,pn
tvscredit3m,04435083053,04446974607,1,pn
tvscredit3m,04469089610,04446974608,1,pn
tvscredit3m,04435083054,04446974608,1,pn
tvscredit3m,04469089611,04446974609,1,pn
tvscredit3m,04435083055,04446974609,1,pn
tvscredit3m,04469089612,04446974610,1,pn
tvscredit3m,04435083056,04446974610,1,pn
tvscredit3m,04469089613,04446974611,1,pn
tvscredit3m,04435083057,04446974611,1,pn
tvscredit3m,03368128006,04446974612,1,pn
tvscredit3m,04469089614,04446974612,1,pn
tvscredit3m,04435083058,04446974612,1,pn
tvscredit3m,07314630202,04446974613,1,pn
tvscredit3m,08035791668,04446974613,1,pn
tvscredit3m,04469089615,04446974613,1,pn
tvscredit3m,04435083059,04446974613,1,pn
tvscredit3m,04469089616,04446974615,1,pn
tvscredit3m,04435083060,04446974615,1,pn
tvscredit3m,04469089617,04446974616,1,pn
tvscredit3m,04435083061,04446974616,1,pn
tvscredit3m,04469089618,04446974617,1,pn
tvscredit3m,04435083062,04446974617,1,pn
tvscredit3m,04469089619,04446974618,1,pn
tvscredit3m,04435083063,04446974618,1,pn
tvscredit3m,08038024102,04446974618,1,pn
tvscredit3m,04469089620,04446974619,1,pn
tvscredit3m,04435083064,04446974619,1,pn
tvscredit3m,04469089621,04446974620,1,pn
tvscredit3m,04435083065,04446974620,1,pn
tvscredit3m,04469089622,04446974621,1,pn
tvscredit3m,04435083066,04446974621,1,pn
tvscredit3m,04469089623,04446974622,1,pn
tvscredit3m,04435083067,04446974622,1,pn
tvscredit3m,04435083068,04446974624,1,pn
tvscredit3m,04469089624,04446974624,1,pn
tvscredit3m,04469089625,04446974625,1,pn
tvscredit3m,04435083069,04446974625,1,pn
tvscredit3m,04469089626,04446974626,1,pn
tvscredit3m,04435083070,04446974626,1,pn
tvscredit3m,04469089551,04954255053,1,pn
tvscredit3m,01169053073,04954255053,1,pn
tvscredit3m,08062410563,04954255053,1,pn
tvscredit3m,01135054014,04954255053,1,pn
tvscredit3m,01169053074,04954262545,1,pn
tvscredit3m,08062410562,04954262545,1,pn
tvscredit3m,01135054015,04954262545,1,pn
tvscredit3m,04469089550,04954262545,1,pn
tvscredit3m,01135054002,04954879008,1,pn
tvscredit3m,08062410564,04954879008,1,pn
tvscredit3m,01169053061,04954879008,1,pn
tvscredit3m,04469089552,04954879008,1,pn
tvscredit3m,01135054013,04954879010,1,pn
tvscredit3m,04469089553,04954879010,1,pn
tvscredit3m,08062410565,04954879010,1,pn
tvscredit3m,01169053072,04954879010,1,pn
tvscredit3m,08062410566,04954879011,1,pn
tvscredit3m,01169053071,04954879011,1,pn
tvscredit3m,01135054012,04954879011,1,pn
tvscredit3m,04469089554,04954879011,1,pn
tvscredit3m,01135054011,04954879012,1,pn
tvscredit3m,04469089555,04954879012,1,pn
tvscredit3m,01169053070,04954879012,1,pn
tvscredit3m,08062410567,04954879012,1,pn
tvscredit3m,04469089556,04954879015,1,pn
tvscredit3m,01169053069,04954879015,1,pn
tvscredit3m,08062410568,04954879015,1,pn
tvscredit3m,01135054010,04954879015,1,pn
tvscredit3m,08062410569,04954879018,1,pn
tvscredit3m,01135054009,04954879018,1,pn
tvscredit3m,04469089557,04954879018,1,pn
tvscredit3m,01169053068,04954879018,1,pn
tvscredit3m,01169053067,04954879020,1,pn
tvscredit3m,04469089558,04954879020,1,pn
tvscredit3m,01135054008,04954879020,1,pn
tvscredit3m,08062410570,04954879020,1,pn
tvscredit3m,08062410571,04954879021,1,pn
tvscredit3m,01169053066,04954879021,1,pn
tvscredit3m,04469089559,04954879021,1,pn
tvscredit3m,01135054007,04954879021,1,pn
tvscredit3m,01169053065,04954879022,1,pn
tvscredit3m,08062410572,04954879022,1,pn
tvscredit3m,04469089560,04954879022,1,pn
tvscredit3m,01135054006,04954879022,1,pn
tvscredit3m,01169053064,04954879023,1,pn
tvscredit3m,04435082902,04954879023,1,pn
tvscredit3m,08062410573,04954879023,1,pn
tvscredit3m,01135054005,04954879023,1,pn
tvscredit3m,04469089561,04954879023,1,pn
tvscredit3m,08062410574,04954879024,1,pn
tvscredit3m,01135054004,04954879024,1,pn
tvscredit3m,04469089562,04954879024,1,pn
tvscredit3m,01169053063,04954879024,1,pn
tvscredit3m,04469089563,04954879025,1,pn
tvscredit3m,01169053062,04954879025,1,pn
tvscredit3m,01135054003,04954879025,1,pn
tvscredit3m,08062410575,04954879025,1,pn
tvscredit3m,08035791611,07314852028,1,pn
tvscredit3m,08035791612,07314852064,1,pn
tvscredit3m,08062410540,08037499378,1,pn
tvscredit3m,08035791521,08037499378,1,pn
tvscredit3m,08035791522,08037499841,1,pn
tvscredit3m,01135644008,08037499841,1,pn
tvscredit3m,02241780052,08037499841,1,pn
tvscredit3m,08062410541,08037499841,1,pn
tvscredit3m,08062410542,08037500657,1,pn
tvscredit3m,08035791523,08037500657,1,pn
tvscredit3m,08035791524,08037500662,1,pn
tvscredit3m,08062410543,08037500662,1,pn
tvscredit3m,08035791525,08037500679,1,pn
tvscredit3m,08062410544,08037500679,1,pn
tvscredit3m,08035791526,08037500682,1,pn
tvscredit3m,08062410545,08037500682,1,pn
tvscredit3m,08035791527,08037500695,1,pn
tvscredit3m,08062410546,08037500695,1,pn
tvscredit3m,08035791537,08037779001,1,pn
tvscredit3m,08062410556,08037779001,1,pn
tvscredit3m,08035791538,08037779002,1,pn
tvscredit3m,08062410557,08037779002,1,pn
tvscredit3m,08035791539,08037779006,1,pn
tvscredit3m,08062410547,08069490193,1,pn
tvscredit3m,08035791528,08069490193,1,pn
tvscredit3m,08035791529,08069490195,1,pn
tvscredit3m,08062410548,08069490195,1,pn
tvscredit3m,08062410549,08069490196,1,pn
tvscredit3m,08035791530,08069490196,1,pn
tvscredit3m,08035791531,08069490197,1,pn
tvscredit3m,08062410550,08069490197,1,pn
tvscredit3m,08035791532,08069490198,1,pn
tvscredit3m,08062410552,08069490203,1,pn
tvscredit3m,08035791533,08069490203,1,pn
tvscredit3m,08035791534,08069490205,1,pn
tvscredit3m,08062410553,08069490205,1,pn
tvscredit3m,08035791535,08069490207,1,pn
tvscredit3m,08035791536,08069490208,1,pn
tvscredit3m,08062410555,08069490208,1,pn
tvscredit3m,08062410918,1409260619,1,pn
